Screen11,Screen12,Screen13,Screen1,Screen2,Word,Answer
R,U,G,If there is an A then,there is no U.,RUG,J
C,A,T,If there is a C then,there is a K.,CAT,F
B,I,N,If there is a V then,there is an N.,BIN,J
P,E,N,If there is a Q then,there is a P.,PEN,F
