Screen11,Screen12,Screen13,Screen1,Screen2,Answer,Feedback,TV
P,R,O,There is a T if,there is a P.,x,F,FT
M,A,T,There is no R if,there is no N.,x,J,TT
B,A,T,There is no Q if,there is a B.,x,J,TT
P, I,T,There is an E if,there is a P.,x,F,FT
D,O,T,There is a T if,there is a D.,x,J,TT
C,U,T,There is no T if,there is a C.,x,F,FT
C,A,N,There is an N if,there is no K.,x,J,TT
P,R,O,There is no R if,there is no G.,x,F,FT
M,A,T,There is no P if,there is an M.,x,F,FT
B,A,T,There is a T if,there is no P.,x,J,TT
P, I,T,There is no A if,there is a P.,x,J,TT
B,E,D,There is a C if,there is no T.,F,F,FT
C,U,T,There is a T if,there is a U.,F,J,TT
C,R,Y,There is an N if,there is a C.,J,F,FT
P,R,O,There is an R if,there is no U.,J,J,TT
M,A,T,There is a T if,there is no K.,J,J,TT
B,A,T,There is a T if,there is no C.,F,J,TT
P,I,T,There is an E if,there is a P.,F,F,FT
D,O,T,There is an O if,there is a D.,J,J,TT
C,U,T,There is no T if,there is a U.,F,F,FT
C,A,N,There is an N if,there is a C.,J,J,TT
P,R,O,There is no R if,there is no J.,F,F,FT
M,A,T,There is no P if,there is an M.,J,J,TT
B,A,T,There is a Q if,there is a B.,J,F,FT
P, I,T,There is an P if,there is a T.,F,J,TT
B,E,D,There is a B if,there is a D.,J,J,TT
C,U,T,There is no T if,there is a C.,F,F,FT
C,R,Y,There is a Y if,there is no I.,F,J,TT
P,R,O,There is an A if,there is a P.,J,F,FT
M,A,T,There is an X if,there is an M.,J,F,FT
B,A,T,There is a T if,there is no L.,F,J,TT
P, I,T,There is no E if,there is a P.,F,F,FT
D,O,T,There is no T if,there is a D.,J,F,FT
C,U,T,There is a T if,there is no M.,F,J,TT
C,A,N,There is no N if,there is no P.,J,F,FT
P,R,O,There is an R if,there is no C.,F,J,TT
M,A,T,There is a P if,there is an E.,J,F,FT
B,A,T,There is an N if,there is a B.,J,F,FT
P,I,T,There is no Y if,there is a T.,F,J,TT
B,E,D,There is a V if,there is a D.,J,F,FT
C,U,T,There is no T if,there is a C.,F,F,FT
C,R,Y,There is a Y if,there is an R.,F,J,TT
