"","ID","Connective","ReactionTime1","ReactionTime2","ReactionTime3","TrialID","Label","Wordform","Answeraccuracy","Truthvalue","Sentenceform","Group","LogReactionTime1"
"51","56cda8a952789e000b3d9925","and",660,778,1010,"T2.16","test","CVV",1,"J","PositivePositive","B",6.49223983502047
"52","56cda8a952789e000b3d9925","so",747,1259,1090,"T2.55","test","CVC",1,"F","PositivePositive","B",6.61606518513282
"53","56cda8a952789e000b3d9925","and",804,811,815,"T2.7","test","CVC",1,"J","PositivePositive","B",6.68959926917897
"54","56cda8a952789e000b3d9925","so",700,1095,964,"T2.68","test","CVV",1,"J","PositivePositive","B",6.5510803350434
"55","56cda8a952789e000b3d9925","but",763,971,1509,"T2.29","test","VCC",1,"F","PositiveNegative","B",6.63725803128446
"56","56cda8a952789e000b3d9925","but",712,967,817,"T2.41","test","CVC",1,"F","PositivePositive","B",6.56807791141198
"57","56cda8a952789e000b3d9925","so",588,885,835,"T2.59","test","CVV",1,"F","PositiveNegative","B",6.37672694789863
"58","56cda8a952789e000b3d9925","so",1242,744,1184,"T2.49","test","CVC",1,"F","PositivePositive","B",7.12447826249342
"59","56cda8a952789e000b3d9925","so",768,1094,1171,"T2.60","test","CVC",1,"F","PositiveNegative","B",6.64378973314767
"60","56cda8a952789e000b3d9925","and",762,870,937,"T2.2","test","VCV",1,"J","PositivePositive","B",6.63594655568665
"61","56cda8a952789e000b3d9925","so",804,858,703,"T2.70","test","CVV",1,"J","PositivePositive","B",6.68959926917897
"62","56cda8a952789e000b3d9925","but",1598,1140,4267,"T2.27","test","CVV",1,"J","PositivePositive","B",7.37650812632622
"63","56cda8a952789e000b3d9925","and",1239,2185,1896,"T2.4","test","VCV",1,"F","PositiveNegative","B",7.12205988162914
"64","56cda8a952789e000b3d9925","and",2134,823,1104,"T2.19","test","VCC",1,"J","PositiveNegative","B",7.6657534318617
"65","56cda8a952789e000b3d9925","but",693,754,1011,"T2.28","test","VCC",1,"J","PositivePositive","B",6.5410299991899
"66","56cda8a952789e000b3d9925","but",758,798,1534,"T2.46","test","CVC",1,"J","PositiveNegative","B",6.63068338564237
"67","56cda8a952789e000b3d9925","and",620,815,1014,"T2.21","test","CVC",1,"J","PositiveNegative","B",6.42971947803914
"68","56cda8a952789e000b3d9925","but",854,1537,2533,"T2.42","test","VCC",1,"J","PositiveNegative","B",6.74993119378857
"69","56cda8a952789e000b3d9925","and",991,969,873,"T2.12","test","VCC",1,"F","PositivePositive","B",6.89871453432999
"70","5fbb9d51c62f40d0969e8095","and",1812,1188,1240,"T1.8","test","CVV",1,"J","PositivePositive","A",7.50218648660292
"71","5fbb9d51c62f40d0969e8095","so",1466,1540,2216,"T1.67","test","VCC",1,"J","PositiveNegative","A",7.2902928824466
"72","5fbb9d51c62f40d0969e8095","but",1387,1381,1951,"T1.25","test","CVC",1,"J","PositiveNegative","A",7.23489842031483
"73","5fbb9d51c62f40d0969e8095","so",964,1082,2092,"T1.55","test","CVV",1,"F","PositivePositive","A",6.87109129461055
"74","5fbb9d51c62f40d0969e8095","so",1592,1357,1113,"T1.52","test","CVC",1,"J","PositiveNegative","A",7.37274636640433
"75","5fbb9d51c62f40d0969e8095","but",1321,1185,1468,"T1.26","test","CVC",1,"J","PositiveNegative","A",7.18614430452233
"76","5fbb9d51c62f40d0969e8095","and",1046,1072,1261,"T1.21","test","CVV",1,"J","PositiveNegative","A",6.95272864462487
"77","5fbb9d51c62f40d0969e8095","so",1123,1260,1800,"T1.60","test","CVV",1,"F","PositiveNegative","A",7.02375895473844
"78","5fbb9d51c62f40d0969e8095","and",1583,1220,1652,"T1.23","test","VCV",1,"J","PositiveNegative","A",7.36707705988101
"79","5fbb9d51c62f40d0969e8095","but",937,946,1055,"T1.36","test","CVV",1,"J","PositivePositive","A",6.84268328223842
"80","5fbb9d51c62f40d0969e8095","so",601,2801,2150,"T1.49","test","CVC",1,"F","PositivePositive","A",6.39859493453521
"81","5fbb9d51c62f40d0969e8095","so",1344,1310,1484,"T1.64","test","VCV",1,"J","PositivePositive","A",7.20340552108309
"82","5fbb9d51c62f40d0969e8095","so",953,2376,1934,"T1.72","test","CVV",1,"J","PositivePositive","A",6.8596149036542
"83","5fbb9d51c62f40d0969e8095","so",731,1369,1386,"T1.51","test","CVC",1,"J","PositiveNegative","A",6.59441345974978
"84","5fbb9d51c62f40d0969e8095","and",677,898,794,"T1.2","test","CVC",1,"J","PositivePositive","A",6.51767127291227
"85","5fbb9d51c62f40d0969e8095","but",1094,2033,1260,"T1.44","test","VCV",1,"F","PositiveNegative","A",6.99759598298193
