Screen11,Screen12,Screen13,Screen1,Screen2,Answer,Feedback,TV
P,R,O,There is a T if,there is a P.,x,F,FT
M,A,T,There is no R if,there is an M.,x,J,TT
B,A,T,There is no Q if,there is a B.,x,J,TT
P,I,T,There is an E if,there is a P.,x,F,FT
D,O,T,There is a T if,there is a D.,x,J,TT
C,U,T,There is no T if,there is a C.,x,F,FT
C,A,N,There is no K if,there is an N.,x,J,TT
P,R,O,There is no R if,there is an O.,x,F,FT
M,A,T,There is no P if,there is an M.,x,F,FT
B,A,T,There is a T if,there is a B.,x,J,TT
P,I,T,There is no A if,there is a P.,x,J,TT
B,E,D,There is a C if,there is an E.,F,F,FT
C,U,T,There is a T if,there is a U.,J,J,TT
C,R,Y,There is an N if,there is a C.,F,F,FT
P,R,O,There is an R if,there is an O.,J,J,TT
M,A,T,There is no C if,there is an A.,J,J,TT
B,A,T,There is a T if,there is a B.,J,J,TT
P,I,T,There is an E if,there is a P.,F,F,FT
D,O,T,There is an O if,there is a D.,J,J,TT
C,U,T,There is no T if,there is a U.,F,F,FT
C,A,N,There is an N if,there is a C.,J,J,TT
P,R,O,There is no R if,there is a P.,F,F,FT
M,A,T,There is no P if,there is an M.,J,J,TT
B,A,T,There is a Q if,there is a B.,F,F,FT
P,I,T,There is an P if,there is a T.,J,J,TT
B,E,D,There is a B if,there is a D.,J,J,TT
C,U,T,There is no T if,there is a C.,F,F,FT
C,R,Y,There is no Q if,there is a Y.,J,J,TT
P,R,O,There is an A if,there is a P.,F,F,FT
M,A,T,There is an X if,there is an M.,F,F,FT
B,A,T,There is no U if,there is an A.,J,J,TT
P,I,T,There is no E if,there is a P.,F,F,FT
D,O,T,There is no T if,there is a D.,F,F,FT
C,U,T,There is a T if,there is a C.,J,J,TT
C,A,N,There is no N if,there is an A.,F,F,FT
P,R,O,There is an R if,there is an O.,J,J,TT
M,A,T,There is a P if,there is an A.,F,F,FT
B,A,T,There is an N if,there is a B.,F,F,FT
P,I,T,There is no Y if,there is a T.,J,J,TT
B,E,D,There is a V if,there is a D.,F,F,FT
C,U,T,There is no T if,there is a C.,F,F,FT
C,R,Y,There is a Y if,there is an R.,J,J,TT
