"","ID","Connective","ReactionTime1","ReactionTime2","ReactionTime3","TrialID","Label","Wordform","Answeraccuracy","Truthvalue","Sentenceform","Group","Order","OrderBinary","OrderTrials","LogReactionTime1"
"44","615d78e47da8bc9a0253dcbb","but",914,836,1108,"T1.43","test","VCV",1,"J","PositivePositive","A","second","second",80,6.81783057145415
"45","615d78e47da8bc9a0253dcbb","and",1374,759,942,"T1.19","test","CVC",1,"J","PositiveNegative","A","second","second",83,7.22548147278229
"46","615d78e47da8bc9a0253dcbb","but",2556,1690,715,"T1.47","test","VCC",1,"J","PositivePositive","A","second","second",84,7.84619881549743
"47","615d78e47da8bc9a0253dcbb","but",1137,749,751,"T1.42","test","VCV",1,"J","PositiveNegative","A","second","second",85,7.03614849375054
"48","615d78e47da8bc9a0253dcbb","but",1094,1068,2756,"T1.48","test","VCC",1,"F","PositiveNegative","A","second","second",86,6.99759598298193
"49","615d78e47da8bc9a0253dcbb","so",798,795,996,"T1.60","test","CVV",1,"F","PositiveNegative","A","second","second",87,6.68210859744981
"50","615d78e47da8bc9a0253dcbb","but",1034,1945,708,"T1.28","test","CVC",1,"J","PositivePositive","A","second","second",88,6.94119005506837
"51","615d78e47da8bc9a0253dcbb","and",768,751,833,"T1.2","test","CVC",1,"J","PositivePositive","A","second","second",89,6.64378973314767
"52","615d78e47da8bc9a0253dcbb","and",699,1069,738,"T1.9","test","CVV",1,"F","PositiveNegative","A","second","second",91,6.54965074223381
"53","615d78e47da8bc9a0253dcbb","but",987,1540,1380,"T1.31","test","CVC",1,"F","PositivePositive","A","second","second",92,6.89467003943348
"54","615d78e47da8bc9a0253dcbb","so",990,1032,741,"T1.72","test","CVV",1,"J","PositivePositive","A","second","second",93,6.89770494312864
"55","615d78e47da8bc9a0253dcbb","so",831,637,1027,"T1.50","test","CVC",1,"F","PositivePositive","A","second","second",96,6.72262979485545
"56","615d78e47da8bc9a0253dcbb","so",2182,747,1057,"T1.62","test","VCV",1,"F","PositivePositive","A","second","second",97,7.68799716639302
"57","615d78e47da8bc9a0253dcbb","and",920,583,1162,"T1.16","test","VCC",1,"J","PositivePositive","A","second","second",99,6.82437367004309
"58","615d78e47da8bc9a0253dcbb","but",881,1266,1357,"T1.37","test","CVV",1,"F","PositiveNegative","A","second","second",100,6.78105762593618
"59","615d78e47da8bc9a0253dcbb","so",1410,2244,1317,"T1.57","test","CVV",1,"J","PositiveNegative","A","second","second",102,7.25134498337221
"60","615d78e47da8bc9a0253dcbb","but",621,811,897,"T1.32","test","CVC",1,"F","PositivePositive","A","second","second",103,6.43133108193348
"61","615d78e47da8bc9a0253dcbb","and",1787,1093,1151,"T1.10","test","CVV",1,"F","PositiveNegative","A","second","second",105,7.48829351515943
"62","615d78e47da8bc9a0253dcbb","and",759,749,1468,"T1.7","test","CVV",1,"J","PositivePositive","A","second","second",106,6.63200177739563
"63","615d78e47da8bc9a0253dcbb","so",635,1545,997,"T1.61","test","VCV",1,"F","PositiveNegative","A","second","second",108,6.45362499889269
"64","5f9f366d30ae1a565a704ccc","but",1913,816,1685,"T2.33","test","CVV",1,"J","PositiveNegative","B","first","first",1,7.55642796944025
"65","5f9f366d30ae1a565a704ccc","and",1161,848,1309,"T2.17","test","CVC",1,"F","PositiveNegative","B","first","first",3,7.05703698169789
"66","5f9f366d30ae1a565a704ccc","but",841,783,686,"T2.46","test","CVC",1,"J","PositiveNegative","B","first","first",4,6.73459165997295
"67","5f9f366d30ae1a565a704ccc","so",778,903,773,"T2.51","test","VCV",1,"J","PositiveNegative","B","first","first",5,6.65672652417839
"68","5f9f366d30ae1a565a704ccc","so",682,728,724,"T2.55","test","CVC",1,"F","PositivePositive","B","first","first",8,6.52502965784346
"69","5f9f366d30ae1a565a704ccc","and",658,640,550,"T2.1","test","CVV",1,"J","PositivePositive","B","first","first",9,6.48920493132532
"70","5f9f366d30ae1a565a704ccc","and",628,488,2085,"T2.20","test","CVC",1,"J","PositiveNegative","B","first","first",10,6.4425401664682
"71","5f9f366d30ae1a565a704ccc","but",593,624,813,"T2.30","test","CVC",1,"F","PositiveNegative","B","first","first",13,6.38519439899773
"72","5f9f366d30ae1a565a704ccc","so",475,894,813,"T2.53","test","VCV",1,"F","PositiveNegative","B","first","first",14,6.16331480403464
"73","5f9f366d30ae1a565a704ccc","and",568,1104,1317,"T2.3","test","CVV",1,"F","PositiveNegative","B","first","first",16,6.34212141872115
