Screen11,Screen12,Screen13,Screen1,Screen2,Word,Answer
R,U,G,There is an A or,there is no U.,RUG,F
C,A,T,There is a C or,there is a K.,CAT,J
B,I,N,There is a V or ,there is an N.,BIN,J
P,E,N,There is a Q or,there is a K. ,PEN,F
