"","ID","Connective","ReactionTime1","ReactionTime2","ReactionTime3","TrialID","Label","Wordform","Answeraccuracy","Truthvalue","Sentenceform","Group","LogReactionTime1"
"1","5a572107e0cf3d0001263e50","but",979,702,642,"T2.27","test","CVV",1,"J","PositivePositive","B",6.88653164253051
"2","5a572107e0cf3d0001263e50","so",720,997,802,"T2.70","test","CVV",1,"J","PositivePositive","B",6.5792512120101
"3","5a572107e0cf3d0001263e50","but",501,519,1313,"T2.42","test","VCC",1,"J","PositiveNegative","B",6.21660610108486
"4","5a572107e0cf3d0001263e50","so",551,574,839,"T2.67","test","CVV",1,"J","PositiveNegative","B",6.31173480915291
"5","5a572107e0cf3d0001263e50","but",469,502,705,"T2.36","test","CVV",1,"J","PositivePositive","B",6.15060276844628
"6","5a572107e0cf3d0001263e50","but",620,486,928,"T2.31","test","CVC",1,"F","PositivePositive","B",6.42971947803914
"7","5a572107e0cf3d0001263e50","but",538,673,583,"T2.26","test","VCV",1,"J","PositiveNegative","B",6.28785856016178
"8","5a572107e0cf3d0001263e50","so",994,566,901,"T2.60","test","CVC",1,"F","PositiveNegative","B",6.90173720665657
"9","5a572107e0cf3d0001263e50","but",1722,639,691,"T2.37","test","CVV",1,"F","PositiveNegative","B",7.45124168498768
"10","5a572107e0cf3d0001263e50","and",426,496,482,"T2.13","test","CVV",1,"J","PositivePositive","B",6.05443934626937
"11","5a572107e0cf3d0001263e50","and",427,525,515,"T2.24","test","CVC",1,"J","PositiveNegative","B",6.05678401322862
"12","5a572107e0cf3d0001263e50","but",470,501,475,"T2.35","test","CVV",1,"J","PositivePositive","B",6.1527326947041
"13","5a572107e0cf3d0001263e50","and",639,514,894,"T2.15","test","CVC",1,"F","PositivePositive","B",6.45990445437753
"14","5a572107e0cf3d0001263e50","but",939,417,746,"T2.30","test","CVC",1,"F","PositiveNegative","B",6.84481547920826
"15","5a572107e0cf3d0001263e50","so",478,596,574,"T2.57","test","CVC",1,"J","PositiveNegative","B",6.16961073249146
"16","5a572107e0cf3d0001263e50","so",819,579,582,"T2.72","test","CVC",1,"J","PositivePositive","B",6.70808408385307
"17","5a572107e0cf3d0001263e50","and",866,556,585,"T2.20","test","CVC",1,"J","PositiveNegative","B",6.76388490856244
"18","5a572107e0cf3d0001263e50","and",462,488,600,"T2.9","test","CVC",1,"F","PositiveNegative","B",6.13556489108174
"19","5a572107e0cf3d0001263e50","so",873,624,1505,"T2.49","test","CVC",1,"F","PositivePositive","B",6.7719355558396
"20","5a572107e0cf3d0001263e50","but",632,566,509,"T2.48","test","CVC",1,"F","PositiveNegative","B",6.44888939414686
"21","5a572107e0cf3d0001263e50","and",564,479,562,"T2.10","test","CVV",1,"F","PositiveNegative","B",6.33505425149806
"22","5a572107e0cf3d0001263e50","and",578,505,684,"T2.16","test","CVV",1,"J","PositivePositive","B",6.35957386867238
"23","5a572107e0cf3d0001263e50","so",497,495,522,"T2.52","test","CVC",1,"J","PositiveNegative","B",6.20859002609663
"24","5a572107e0cf3d0001263e50","but",545,544,542,"T2.34","test","CVC",1,"J","PositiveNegative","B",6.30078579466324
"25","5a572107e0cf3d0001263e50","and",493,437,671,"T2.11","test","VCC",1,"F","PositivePositive","B",6.20050917404269
"26","5a572107e0cf3d0001263e50","so",400,505,542,"T2.51","test","VCV",1,"J","PositiveNegative","B",5.99146454710798
"27","5a572107e0cf3d0001263e50","so",873,594,456,"T2.58","test","VCV",1,"J","PositiveNegative","B",6.7719355558396
"28","5a572107e0cf3d0001263e50","so",528,504,603,"T2.68","test","CVV",1,"J","PositivePositive","B",6.26909628370626
"29","5a572107e0cf3d0001263e50","but",697,705,817,"T2.41","test","CVC",1,"F","PositivePositive","B",6.54678541076052
"30","5a572107e0cf3d0001263e50","but",963,479,622,"T2.33","test","CVV",1,"J","PositiveNegative","B",6.87005341179813
"31","5a572107e0cf3d0001263e50","but",937,546,489,"T2.47","test","CVV",1,"J","PositivePositive","B",6.84268328223842
"32","5a572107e0cf3d0001263e50","but",858,649,880,"T2.39","test","VCC",1,"F","PositivePositive","B",6.75460409948796
"33","5a572107e0cf3d0001263e50","so",679,663,903,"T2.66","test","VCC",1,"F","PositivePositive","B",6.5206211275587
"34","5a572107e0cf3d0001263e50","but",810,464,475,"T2.28","test","VCC",1,"J","PositivePositive","B",6.69703424766648
"35","5a572107e0cf3d0001263e50","and",539,468,728,"T2.19","test","VCC",1,"J","PositiveNegative","B",6.289715570909
"36","5a572107e0cf3d0001263e50","and",386,477,578,"T2.21","test","CVC",1,"J","PositiveNegative","B",5.95583736946483
"37","5a572107e0cf3d0001263e50","so",468,483,749,"T2.61","test","CVV",1,"F","PositiveNegative","B",6.14846829591765
"38","5a572107e0cf3d0001263e50","and",501,457,482,"T2.1","test","CVV",1,"J","PositivePositive","B",6.21660610108486
"39","5a572107e0cf3d0001263e50","so",516,486,529,"T2.65","test","CVV",1,"F","PositiveNegative","B",6.24610676548156
"40","5a572107e0cf3d0001263e50","and",546,498,655,"T2.4","test","VCV",1,"F","PositiveNegative","B",6.30261897574491
"41","5a572107e0cf3d0001263e50","so",545,636,811,"T2.64","test","CVC",1,"J","PositivePositive","B",6.30078579466324
"42","5a572107e0cf3d0001263e50","and",1154,729,922,"T2.12","test","VCC",1,"F","PositivePositive","B",7.05098944706805
"43","5a572107e0cf3d0001263e50","and",631,480,522,"T2.8","test","CVV",1,"J","PositivePositive","B",6.44730586254121
"44","5a572107e0cf3d0001263e50","so",982,444,700,"T2.54","test","CVC",1,"F","PositiveNegative","B",6.88959130835447
"45","5a572107e0cf3d0001263e50","so",371,571,654,"T2.63","test","CVC",1,"J","PositiveNegative","B",5.91620206260743
"46","5a572107e0cf3d0001263e50","but",804,466,552,"T2.46","test","CVC",1,"J","PositiveNegative","B",6.68959926917897
"47","5a572107e0cf3d0001263e50","so",593,509,567,"T2.71","test","VCV",1,"J","PositivePositive","B",6.38519439899773
"48","5a572107e0cf3d0001263e50","so",729,602,657,"T2.55","test","CVC",1,"F","PositivePositive","B",6.59167373200866
"49","5a572107e0cf3d0001263e50","and",631,444,624,"T2.23","test","CVV",1,"J","PositiveNegative","B",6.44730586254121
"50","5a572107e0cf3d0001263e50","and",540,480,546,"T2.7","test","CVC",1,"J","PositivePositive","B",6.29156913955832
